year,coo_name,coo,coo_iso,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2014,Afghanistan,AFG,AFG,Afghanistan,AFG,AFG,0,0,0,805409,0,0,201284,,0
2014,Iran (Islamic Rep. of),IRN,IRN,Afghanistan,AFG,AFG,36,21,0,0,0,0,0,,0
2014,Pakistan,PAK,PAK,Afghanistan,AFG,AFG,300385,33,0,0,0,0,0,,0
2014,Tajikistan,TJK,TJK,Afghanistan,AFG,AFG,0,5,0,0,0,0,0,,0
2014,Egypt,ARE,EGY,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2014,Azerbaijan,AZE,AZE,Albania,ALB,ALB,0,5,0,0,0,0,0,,0
2014,China,CHI,CHN,Albania,ALB,ALB,12,0,0,0,0,0,0,,0
2014,Dem. Rep. of the Congo,COD,COD,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2014,Palestinian,GAZ,PSE,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2014,Iran (Islamic Rep. of),IRN,IRN,Albania,ALB,ALB,0,456,0,0,0,0,0,,0
2014,Iraq,IRQ,IRQ,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2014,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,Albania,ALB,ALB,64,13,0,0,0,0,0,,0
2014,Syrian Arab Rep.,SYR,SYR,Albania,ALB,ALB,5,8,0,0,0,0,0,,0
2014,Türkiye,TUR,TUR,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2014,Uzbekistan,UZB,UZB,Albania,ALB,ALB,5,0,0,0,0,0,0,,0
2014,Stateless,STA,XXA,Albania,ALB,ALB,0,0,0,0,0,7443,0,,0
2014,Burkina Faso,BKF,BFA,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2014,Central African Rep.,CAR,CAF,Algeria,ALG,DZA,0,51,0,0,0,0,0,,0
2014,Chad,CHD,TCD,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2014,Cameroon,CMR,CMR,Algeria,ALG,DZA,9,25,0,0,0,0,0,,0
2014,Congo,COB,COG,Algeria,ALG,DZA,5,0,5,0,0,0,0,,0
2014,Dem. Rep. of the Congo,COD,COD,Algeria,ALG,DZA,40,34,0,0,0,0,0,,0
2014,Palestinian,GAZ,PSE,Algeria,ALG,DZA,4016,374,0,0,0,0,0,,0
2014,Guinea,GUI,GIN,Algeria,ALG,DZA,0,12,0,0,0,0,0,,0
2014,Cote d'Ivoire,ICO,CIV,Algeria,ALG,DZA,23,54,8,0,0,0,0,,0
2014,Iraq,IRQ,IRQ,Algeria,ALG,DZA,16,10,0,0,0,0,0,,0
2014,Liberia,LBR,LBR,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0
2014,Libya,LBY,LBY,Algeria,ALG,DZA,0,42,0,0,0,0,0,,0
2014,Mali,MLI,MLI,Algeria,ALG,DZA,0,107,2367,0,0,0,0,,0
2014,Nigeria,NIG,NGA,Algeria,ALG,DZA,0,15,0,0,0,0,0,,0
2014,Sudan,SUD,SDN,Algeria,ALG,DZA,0,12,0,0,0,0,0,,0
2014,Syrian Arab Rep.,SYR,SYR,Algeria,ALG,DZA,0,4108,0,0,0,0,0,,0
2014,Togo,TOG,TGO,Algeria,ALG,DZA,5,5,0,0,0,0,0,,0
2014,Western Sahara,WSH,ESH,Algeria,ALG,DZA,90000,0,0,0,0,0,0,,0
2014,Yemen,YEM,YEM,Algeria,ALG,DZA,5,0,0,0,0,0,0,,0
2014,Burundi,BDI,BDI,Angola,ANG,AGO,8,94,0,0,0,0,0,,0
2014,Central African Rep.,CAR,CAF,Angola,ANG,AGO,9,76,0,0,0,0,0,,0
2014,Chad,CHD,TCD,Angola,ANG,AGO,177,780,0,0,0,0,0,,0
2014,Congo,COB,COG,Angola,ANG,AGO,5,58,0,0,0,0,0,,0
2014,Dem. Rep. of the Congo,COD,COD,Angola,ANG,AGO,12944,500,0,0,0,0,0,,0
2014,Eritrea,ERT,ERI,Angola,ANG,AGO,19,1784,0,0,0,0,0,,0
2014,Ethiopia,ETH,ETH,Angola,ANG,AGO,0,58,0,0,0,0,0,,0
2014,Guinea-Bissau,GNB,GNB,Angola,ANG,AGO,0,268,0,0,0,0,0,,0
2014,Guinea,GUI,GIN,Angola,ANG,AGO,108,9141,0,0,0,0,0,,0
2014,Cote d'Ivoire,ICO,CIV,Angola,ANG,AGO,513,5926,0,0,0,0,0,,0
2014,Liberia,LBR,LBR,Angola,ANG,AGO,153,478,0,0,0,0,0,,0
2014,Mauritania,MAU,MRT,Angola,ANG,AGO,299,5415,0,0,0,0,0,,0
2014,Rwanda,RWA,RWA,Angola,ANG,AGO,257,85,0,0,0,0,0,,0
2014,Sierra Leone,SLE,SLE,Angola,ANG,AGO,372,1498,0,0,0,0,0,,0
2014,Somalia,SOM,SOM,Angola,ANG,AGO,272,1752,0,0,0,0,0,,0
2014,Sudan,SUD,SDN,Angola,ANG,AGO,300,1679,0,0,0,0,0,,0
2014,United Rep. of Tanzania,TAN,TZA,Angola,ANG,AGO,5,0,0,0,0,0,0,,0
2014,Uganda,UGA,UGA,Angola,ANG,AGO,6,6,0,0,0,0,0,,0
2014,Western Sahara,WSH,ESH,Angola,ANG,AGO,14,602,0,0,0,0,0,,0
2014,Zambia,ZAM,ZMB,Angola,ANG,AGO,7,0,0,0,0,0,0,,0
2014,Afghanistan,AFG,AFG,Egypt,ARE,EGY,0,25,0,0,0,0,0,,0
2014,Algeria,ALG,DZA,Egypt,ARE,EGY,5,0,0,0,0,0,0,,0
2014,Angola,ANG,AGO,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Burundi,BDI,BDI,Egypt,ARE,EGY,37,5,0,0,0,0,0,,0
2014,Benin,BEN,BEN,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Bangladesh,BGD,BGD,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Belarus,BLR,BLR,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Central African Rep.,CAR,CAF,Egypt,ARE,EGY,5,0,0,0,0,0,0,,0
2014,Chad,CHD,TCD,Egypt,ARE,EGY,40,69,0,0,0,0,0,,0
2014,China,CHI,CHN,Egypt,ARE,EGY,5,9,0,0,0,0,0,,0
2014,Cameroon,CMR,CMR,Egypt,ARE,EGY,0,40,0,0,0,0,0,,0
2014,Congo,COB,COG,Egypt,ARE,EGY,5,25,0,0,0,0,0,,0
2014,Dem. Rep. of the Congo,COD,COD,Egypt,ARE,EGY,45,19,0,0,0,0,0,,0
2014,Djibouti,DJB,DJI,Egypt,ARE,EGY,6,9,0,0,0,0,0,,0
2014,Eritrea,ERT,ERI,Egypt,ARE,EGY,1625,1110,0,0,0,0,0,,0
2014,Ethiopia,ETH,ETH,Egypt,ARE,EGY,1138,3074,0,0,0,0,0,,0
2014,Palestinian,GAZ,PSE,Egypt,ARE,EGY,70023,18,0,0,0,0,0,,0
2014,Ghana,GHA,GHA,Egypt,ARE,EGY,0,15,0,0,0,0,0,,0
2014,Guinea-Bissau,GNB,GNB,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Guinea,GUI,GIN,Egypt,ARE,EGY,9,59,0,0,0,0,0,,0
2014,Cote d'Ivoire,ICO,CIV,Egypt,ARE,EGY,298,32,12,0,0,0,0,,0
2014,Iran (Islamic Rep. of),IRN,IRN,Egypt,ARE,EGY,5,5,0,0,0,0,0,,0
2014,Iraq,IRQ,IRQ,Egypt,ARE,EGY,5149,1723,104,0,0,0,0,,0
2014,Kazakhstan,KAZ,KAZ,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Kenya,KEN,KEN,Egypt,ARE,EGY,6,0,0,0,0,0,0,,0
2014,Liberia,LBR,LBR,Egypt,ARE,EGY,5,0,0,0,0,0,0,,0
2014,Libya,LBY,LBY,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Lebanon,LEB,LBN,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Sri Lanka,LKA,LKA,Egypt,ARE,EGY,5,6,0,0,0,0,0,,0
2014,Madagascar,MAD,MDG,Egypt,ARE,EGY,0,6,0,0,0,0,0,,0
2014,Mali,MLI,MLI,Egypt,ARE,EGY,8,5,0,0,0,0,0,,0
2014,Morocco,MOR,MAR,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Myanmar,MYA,MMR,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Nigeria,NIG,NGA,Egypt,ARE,EGY,5,779,0,0,0,0,0,,0
2014,Russian Federation,RUS,RUS,Egypt,ARE,EGY,21,69,0,0,0,0,0,,0
2014,Rwanda,RWA,RWA,Egypt,ARE,EGY,9,0,0,0,0,0,0,,0
2014,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,Egypt,ARE,EGY,8,0,0,0,0,0,0,,0
2014,Senegal,SEN,SEN,Egypt,ARE,EGY,0,7,0,0,0,0,0,,0
2014,Somalia,SOM,SOM,Egypt,ARE,EGY,5733,1632,0,0,0,0,0,,0
2014,Sudan,SUD,SDN,Egypt,ARE,EGY,12730,13997,30,0,0,0,0,,0
2014,South Sudan,SSD,SSD,Egypt,ARE,EGY,542,2467,0,0,0,0,0,,0
2014,Syrian Arab Rep.,SYR,SYR,Egypt,ARE,EGY,138381,0,0,0,0,0,0,,0
2014,Tajikistan,TJK,TJK,Egypt,ARE,EGY,11,9,0,0,0,0,0,,0
2014,Turkmenistan,TKM,TKM,Egypt,ARE,EGY,5,12,0,0,0,0,0,,0
2014,Togo,TOG,TGO,Egypt,ARE,EGY,0,5,0,0,0,0,0,,0
2014,Uganda,UGA,UGA,Egypt,ARE,EGY,15,29,0,0,0,0,0,,0
2014,Uzbekistan,UZB,UZB,Egypt,ARE,EGY,0,67,0,0,0,0,0,,0
2014,Yemen,YEM,YEM,Egypt,ARE,EGY,198,215,0,0,0,0,0,,0
2014,Zimbabwe,ZIM,ZWE,Egypt,ARE,EGY,8,11,0,0,0,0,0,,0
2014,Stateless,STA,XXA,Egypt,ARE,EGY,0,0,0,0,0,20,0,,0
2014,Afghanistan,AFG,AFG,Argentina,ARG,ARG,5,0,0,0,0,0,0,,0
2014,Albania,ALB,ALB,Argentina,ARG,ARG,25,0,0,0,0,0,0,,0
2014,Algeria,ALG,DZA,Argentina,ARG,ARG,41,0,0,0,0,0,0,,0
2014,Angola,ANG,AGO,Argentina,ARG,ARG,13,0,0,0,0,0,0,,0
2014,Egypt,ARE,EGY,Argentina,ARG,ARG,5,0,0,0,0,0,0,,0
2014,Armenia,ARM,ARM,Argentina,ARG,ARG,122,30,0,0,0,0,0,,0
2014,Burundi,BDI,BDI,Argentina,ARG,ARG,5,0,0,0,0,0,0,,0
2014,Bangladesh,BGD,BGD,Argentina,ARG,ARG,0,8,0,0,0,0,0,,0
2014,Bolivia (Plurinational State of),BOL,BOL,Argentina,ARG,ARG,5,0,0,0,0,0,0,,0
2014,Bosnia and Herzegovina,BSN,BIH,Argentina,ARG,ARG,6,0,0,0,0,0,0,,0
2014,China,CHI,CHN,Argentina,ARG,ARG,0,5,0,0,0,0,0,,0
2014,Chile,CHL,CHL,Argentina,ARG,ARG,36,7,0,0,0,0,0,,0
2014,Cameroon,CMR,CMR,Argentina,ARG,ARG,11,5,0,0,0,0,0,,0
2014,Congo,COB,COG,Argentina,ARG,ARG,9,0,0,0,0,0,0,,0
2014,Dem. Rep. of the Congo,COD,COD,Argentina,ARG,ARG,25,5,0,0,0,0,0,,0
